Name: Samuel Steinberg
CS420 Project 4: Genetic Algorithms
Experiments are conducted with the parameters listed above the runs

Number of Genes:,,20
Population Size:,,30
Number of Generations:,,10
Mutation Probability:,,0.033
Crossover Probability:,,0.6
Number of Runs:,,5

Run 1
Generation,Average Fitness,Best Fit,Correct Bits,Best String
0,0.0971075,0.798645,10,'10111100010110110000
1,0.353017,0.822396,12,'11110111101100010100
2,0.555277,0.814742,15,'11111010110011101111
3,0.542563,0.842521,13,'11110111101001101001
4,0.531146,0.820957,11,'11110110101101000100
5,0.602709,0.820957,14,'11111010111110010101
6,0.624225,0.827883,13,'11111000111011101001
7,0.633694,0.982825,10,'11100100100010101101
8,0.60248,0.992397,16,'11111010111110101111
9,0.684363,0.99604,13,'11111010110110101001
Run 5
Generation,Average Fitness,Best Fit,Correct Bits,Best String
0,0.178931,0.982994,12,'11000101111110001110
1,0.467631,0.982365,9,'11100100100110101000
2,0.609659,0.987181,13,'11111110100011010101
3,0.72127,0.995707,12,'11110111100100001101
4,0.778533,0.995707,16,'11111111111000111101
5,0.862883,0.995707,11,'11101010000011101101
6,0.76598,0.995707,14,'11111111011010001101
7,0.795369,0.999666,12,'11111111011010000100
8,0.873175,0.999971,11,'11110110011000011001
9,0.814339,0.999971,19,'11111111111111111101


Number of Genes:,,20
Population Size:,,10
Number of Generations:,,10
Mutation Probability:,,0.033
Crossover Probability:,,0.6
Number of Runs:,,5

Run 1
Generation,Average Fitness,Best Fit,Correct Bits,Best String
0,0.0756499,0.719011,13,'11110111101100001110
1,0.575156,0.719465,12,'11110111101000010110
2,0.592954,0.719465,14,'11110111101101010110
3,0.718989,0.719465,13,'11110011101101001110
4,0.659636,0.98573,10,'11110110101000000110
5,0.685505,0.986031,15,'11111111101000111110
6,0.612245,0.987539,11,'11110011100100101100
7,0.729852,0.987539,9,'11110100001110000100
8,0.781831,0.983623,12,'11111111100100100100
9,0.681551,0.983379,13,'11111111110100100100
Run 2
Generation,Average Fitness,Best Fit,Correct Bits,Best String
0,0.0411731,0.219489,12,'11001001101101101101
1,0.0948161,0.219489,10,'11011011000100101010
2,0.163127,0.241298,13,'11011011101010111010
3,0.231799,0.845279,15,'11111011101110111010
4,0.367793,0.845279,13,'01111011100110111010
5,0.663196,0.986898,16,'11111011101110111011
6,0.716585,0.989351,15,'11111111101110001011
7,0.928463,0.989625,16,'11111111101110001111
8,0.840617,0.99023,14,'10111111101110001011
9,0.89575,0.99023,17,'11111111111010111011
Run 3
Generation,Average Fitness,Best Fit,Correct Bits,Best String
0,0.108678,0.829622,10,'10000000101110101111
1,0.346583,0.852034,17,'11111011110011111111
2,0.80556,0.9974,18,'11111111111011101111
3,0.707145,0.9974,15,'11111001100011111111
4,0.55851,0.852034,17,'11111011110111110111
5,0.60899,0.849989,15,'11110011110111110011
6,0.658606,0.99269,17,'11111011110111110111
7,0.755075,0.99269,15,'11111001110011011111
8,0.628762,0.99269,12,'11101011100110110100
9,0.728434,0.992615,15,'11011011110011110111
Run 4
Generation,Average Fitness,Best Fit,Correct Bits,Best String
0,0.114715,0.665117,11,'11110101110001010100
1,0.368725,0.66513,10,'11100101010110010100
2,0.655709,0.916263,12,'11110101110001010101
3,0.663107,0.665183,12,'11110101110001010101
4,0.689566,0.916254,13,'11110101010001111101
5,0.739302,0.916607,13,'11111101110001010101
6,0.657234,0.990372,13,'11101101110011010101
7,0.558196,0.917242,10,'11010100010101010101
8,0.618432,0.990353,11,'11110111110000001001
9,0.662814,0.990362,11,'11110100010101010101
Run 5
Generation,Average Fitness,Best Fit,Correct Bits,Best String
0,0.0696297,0.441378,14,'11101011111001010111
1,0.208881,0.441378,16,'11111110111101010111
2,0.352998,0.960062,12,'11100100010101110111
3,0.430742,0.942557,17,'11111110011111011111
4,0.402664,0.942629,17,'11111110011111011111
5,0.742104,0.957711,12,'11100100010101110111
6,0.817691,0.98033,15,'11111110011011010111
7,0.841853,0.992615,16,'11110110011111011111
8,0.832412,0.98033,14,'11110110011111010011
9,0.806054,0.977841,14,'11111110110011010101


Number of Genes:,,20
Population Size:,,20
Number of Generations:,,10
Mutation Probability:,,0.033
Crossover Probability:,,0.6
Number of Runs:,,5

Run 1
Generation,Average Fitness,Best Fit,Correct Bits,Best String
0,0.102809,0.73718,13,'11110111101100010110
1,0.395087,0.73718,13,'11110111101100010110
2,0.587355,0.737368,11,'00111000011011111100
3,0.526062,0.798279,14,'11111010010011111101
4,0.653605,0.982863,13,'11111101011000011110
5,0.649603,0.902326,8,'11110010010011000000
6,0.676238,0.945218,8,'11110010010011000000
7,0.582728,0.982046,9,'11110000100000010111
8,0.581127,0.982046,13,'11111111100010010110
9,0.67895,0.982046,10,'11111100100000010110
Run 2
Generation,Average Fitness,Best Fit,Correct Bits,Best String
0,0.147104,0.829622,15,'11111011010100111111
1,0.528492,0.831777,12,'11110011010101110100
2,0.605109,0.936093,15,'11111011010100111111
3,0.596174,0.940894,15,'11011110100101111111
4,0.520199,0.941183,11,'11101010010100001111
5,0.595946,0.941039,14,'11111110011101000111
6,0.598341,0.941255,11,'01110011010100001111
7,0.677404,0.973606,11,'11111010000000101111
8,0.750429,0.941662,12,'11101110010010111100
9,0.626669,0.9414,12,'11111010011101010100
Run 3
Generation,Average Fitness,Best Fit,Correct Bits,Best String
0,0.0660271,0.50448,11,'01101111000100011101
1,0.223736,0.520155,9,'11001100001100011001
2,0.416069,0.969425,11,'11100011000111110100
3,0.432272,0.977243,14,'11111111001010110101
4,0.407037,0.977318,13,'11111010110100011101
5,0.52901,0.992757,14,'11111111110100100101
6,0.608649,0.99305,13,'11100011110011011101
7,0.614944,0.99398,15,'11111110111001011110
8,0.627504,0.99398,11,'11111110001110100000
9,0.805197,0.990542,11,'10111001110110000110
Run 4
Generation,Average Fitness,Best Fit,Correct Bits,Best String
0,0.0711527,0.584342,8,'01010001111001000100
1,0.409335,0.961571,13,'11110010100110111110
2,0.623151,0.961497,13,'01101011111101111000
3,0.625432,0.961488,13,'11110010100110111110
4,0.700244,0.961488,13,'01111110100110110011
5,0.742627,0.961396,13,'11111011110111100000
6,0.715806,0.961451,13,'11111110101101101000
7,0.643133,0.961405,10,'11110110100010101000
8,0.639393,0.959097,9,'11110100110101000000
9,0.605453,0.950845,12,'11111010100100111001
Run 5
Generation,Average Fitness,Best Fit,Correct Bits,Best String
0,0.18012,0.891732,12,'11111101000101010101
1,0.608651,0.895783,11,'11110101000101010011
2,0.612052,0.892007,12,'11110101000101010111
3,0.648357,0.904668,13,'11111101000100111101
4,0.748367,0.900806,11,'11111010010100000111
5,0.747201,0.979282,14,'11111101010100111011
6,0.864202,0.979282,13,'11111101000100011111
7,0.816184,0.979282,17,'11011111011111101111
8,0.684943,0.979282,16,'11111111011101101101
9,0.696952,0.979282,10,'01111101000100001101


Number of Genes:,,20
Population Size:,,40
Number of Generations:,,10
Mutation Probability:,,0.033
Crossover Probability:,,0.6
Number of Runs:,,5

Run 1
Generation,Average Fitness,Best Fit,Correct Bits,Best String
0,0.0714808,0.73718,12,'11110111101010001010
1,0.438441,0.779223,13,'11110111101100010110
2,0.538974,0.779863,14,'11110111101100010111
3,0.593022,0.779863,12,'11110011001100011110
