Name: Samuel Steinberg
CS420 Project 4: Genetic Algorithms
Experiments are conducted with the parameters listed above the runs

Number of Genes:,,20
Population Size:,,30
Number of Generations:,,10
Mutation Probability:,,0.033
Crossover Probability:,,0.6
Number of Runs:,,5

Run 1
Generation,Average Fitness,Best Fit,Correct Bits,Best String
8,0.61336,0.955695,11,'11101111110100100000
9,0.608346,0.977496,11,'11110000110010111010
Run 5
Generation,Average Fitness,Best Fit,Correct Bits,Best String
0,0.0780391,0.70997,11,'11110011000011100110
1,0.370167,0.790064,11,'11110011000011100110
2,0.534308,0.806005,9,'11110000101000001110
3,0.541959,0.72495,14,'11111111111001011000
4,0.543344,0.995964,11,'11111111000000010011
5,0.567639,0.996753,12,'11110111011001010010
6,0.60472,0.996819,12,'11110111000010110011
7,0.626538,0.997428,12,'11110111101001010010
8,0.613895,0.997295,15,'11111111111011100100
9,0.744982,0.997371,11,'11110101100000101011


Number of Genes:,,20
Population Size:,,100
Number of Generations:,,10
Mutation Probability:,,0.033
Crossover Probability:,,0.6
Number of Runs:,,5

Run 1
Generation,Average Fitness,Best Fit,Correct Bits,Best String
0,0.0811756,0.969295,10,'11101000101010010110
1,0.444527,0.988369,13,'11101110110111011000
2,0.580591,0.992795,15,'11110111101101001111
3,0.616157,0.997685,10,'11100110101100001001
4,0.660412,0.994093,14,'11110110110111011010
5,0.687315,0.994236,12,'11111100111100001010
6,0.683584,0.998789,13,'11111001100011011101
7,0.715393,0.998837,17,'11111111111101110110
8,0.75827,0.998837,12,'11101111000001110110
9,0.773688,0.998847,11,'11010110101111000001
Run 2
Generation,Average Fitness,Best Fit,Correct Bits,Best String
0,0.0621095,0.991147,12,'10111000001011111101
1,0.383655,0.991412,12,'11001111111010110000
2,0.560393,0.997228,11,'11110101100100110010
3,0.670379,0.992368,14,'11111001101100101111
4,0.71764,0.995859,12,'11111101101000110001
5,0.681046,0.995859,12,'11111101100100110001
6,0.681795,0.998437,15,'11111111111001011100
7,0.691898,0.999447,12,'11111101001000101110
8,0.705348,0.996002,14,'11101011011111011100
9,0.784314,0.996021,14,'11111101111101000011
Run 3
Generation,Average Fitness,Best Fit,Correct Bits,Best String
0,0.0820873,0.829719,15,'11101101111111100101
1,0.415315,0.833945,11,'01100110110101011001
2,0.613713,0.971495,9,'11110010011010000100
3,0.628356,0.972955,13,'11111010001001110111
4,0.676174,0.988728,15,'11111110011100111110
5,0.639375,0.991961,15,'11111011001110111110
6,0.703529,0.998037,14,'11111011001110110101
7,0.708726,0.996458,16,'11111011001110111111
8,0.691107,0.993212,12,'11111110100000100111
9,0.727484,0.984206,9,'10111100100001001100
Run 4
Generation,Average Fitness,Best Fit,Correct Bits,Best String
0,0.105634,0.968081,10,'11001100111010100010
1,0.498043,0.99128,10,'11010000111010100101
2,0.632524,0.998037,10,'11101100110001001001
3,0.70684,0.998037,12,'11111001001010111100
4,0.745823,0.997352,11,'11111011001000011010
5,0.749348,0.997352,15,'11111111101001111100
6,0.76132,0.997371,14,'11101111100101110011
7,0.733813,0.997352,12,'10111001101001101101
8,0.733434,0.997542,13,'11111101001011010110
9,0.751031,0.994615,13,'11111011100010110110
Run 5
Generation,Average Fitness,Best Fit,Correct Bits,Best String
0,0.0952565,0.914686,5,'00110011000000100000
1,0.467672,0.934728,13,'11101101101101001101
2,0.603412,0.939252,14,'11111100101101101011
3,0.677592,0.988549,11,'11111010010101001100
4,0.688723,0.989512,9,'11110010010011000001
5,0.786313,0.996582,11,'11111001101100001100
6,0.710258,0.996582,14,'11111011010011111001
7,0.771937,0.996582,14,'01111001110111001111
8,0.768748,0.994549,14,'11111100101101100111
9,0.756871,0.994549,13,'11101110101101001101


Number of Genes:,,8
Population Size:,,30
Number of Generations:,,10
Mutation Probability:,,0.033
Crossover Probability:,,0.6
Number of Runs:,,5

Run 1
Generation,Average Fitness,Best Fit,Correct Bits,Best String
0,0.118562,0.924565,7,'11110111
1,0.684128,0.961617,4,'11100010
2,0.727101,0.961617,7,'11110111
3,0.676803,0.961617,6,'11110110
4,0.693588,0.961617,6,'11101011
5,0.621795,0.961617,7,'11111011
6,0.705679,0.961617,5,'01111100
7,0.631734,0.961617,8,'11111111
8,0.771667,0.961617,7,'11111101
9,0.741781,0.961617,7,'01111111
Run 2
Generation,Average Fitness,Best Fit,Correct Bits,Best String
0,0.0823525,0.757868,3,'11000010
1,0.393321,0.888803,7,'11111011
2,0.526554,0.888803,5,'11111000
3,0.646256,0.961617,7,'11111011
4,0.692639,0.961617,7,'11111011
5,0.676317,0.961617,6,'11111001
6,0.626062,0.961617,6,'11111100
7,0.687258,0.961617,6,'11110110
8,0.654273,0.961617,7,'11111110
9,0.65299,0.961617,7,'11111101
Run 3
Generation,Average Fitness,Best Fit,Correct Bits,Best String
0,0.103696,0.757868,5,'11100101
1,0.390825,0.757868,5,'11101100
2,0.501434,0.961617,6,'11111001
3,0.525388,0.888803,6,'11110101
4,0.598137,0.961617,4,'10101001
5,0.631467,0.961617,8,'11111111
6,0.735293,0.961617,7,'11111011
7,0.641206,0.961617,8,'11111111
8,0.682724,0.961617,6,'11110011
9,0.751575,0.961617,7,'11111011
Run 4
Generation,Average Fitness,Best Fit,Correct Bits,Best String
0,0.141186,0.699149,5,'11110001
1,0.443899,0.699149,5,'11110001
2,0.540289,0.961617,7,'11110111
3,0.568862,0.961617,7,'11110111
4,0.598097,0.961617,7,'11110111
5,0.599681,0.961617,7,'01111111
6,0.560501,0.961617,8,'11111111
7,0.645437,0.961617,8,'11111111
8,0.691253,0.961617,6,'01110111
9,0.699139,0.961617,8,'11111111
Run 5
Generation,Average Fitness,Best Fit,Correct Bits,Best String
0,0.0683074,0.727976,5,'11100011
1,0.369753,0.757868,4,'11011000
2,0.533188,0.854291,6,'11110101
3,0.676097,0.854291,6,'11111001
4,0.74976,0.888803,5,'11101001
5,0.670144,0.924565,6,'11111001
6,0.745368,0.961617,6,'11111001
7,0.807722,0.924565,6,'11111001
8,0.75827,0.961617,5,'11111000
9,0.754856,0.961617,7,'11111011


Number of Genes:,,15
Population Size:,,30
Number of Generations:,,10
Mutation Probability:,,0.033
Crossover Probability:,,0.6
Number of Runs:,,5

Run 1
Generation,Average Fitness,Best Fit,Correct Bits,Best String
0,0.133725,0.891827,12,'101110110111111
1,0.520271,0.98786,12,'110111111001111
2,0.619609,0.98786,10,'101111111011000
3,0.610662,0.98786,8,'011111010011000
4,0.629341,0.98786,7,'111101010000010
5,0.700005,0.997561,10,'111100011111010
6,0.687341,0.988464,11,'111101111011010
7,0.71551,0.997561,11,'111111111001001
8,0.799105,0.988464,12,'111111111010011
9,0.830204,0.993003,10,'111111011011000
Run 2
Generation,Average Fitness,Best Fit,Correct Bits,Best String
0,0.0624012,0.826629,7,'111000010010110
1,0.395684,0.971978,14,'111110111111111
2,0.595441,0.971978,13,'111110111111011
3,0.648387,0.974361,10,'111100110011011
4,0.71382,0.99361,9,'111110110000110
5,0.701257,0.974361,10,'111110010011011
6,0.636966,0.98004,11,'111110110011011
7,0.777398,0.971384,10,'111110111001001
8,0.739946,0.971384,8,'111110010000110
9,0.729495,0.990277,7,'111110010000010
Run 3
Generation,Average Fitness,Best Fit,Correct Bits,Best String
0,0.0361305,0.744189,6,'111010001000001
1,0.389311,0.755968,5,'111010001000000
2,0.590266,0.810825,8,'111110001000110
3,0.664673,0.820223,7,'111110001010000
4,0.644724,0.877886,8,'111110001011000
5,0.64267,0.818947,8,'111110001011000
6,0.631951,0.777351,6,'111100001000001
7,0.671872,0.818947,8,'111110101000001
8,0.643417,0.88661,8,'011110001011001
9,0.642173,0.88661,8,'111110011001000
Run 4
Generation,Average Fitness,Best Fit,Correct Bits,Best String
0,0.0838706,0.949315,10,'111111110100010
1,0.307081,0.971681,9,'111010111000110
2,0.598039,0.973169,9,'111111100100010
3,0.563627,0.973169,10,'111111110100010
4,0.705806,0.973169,9,'111111000100110
5,0.746861,0.986955,7,'111101100100000
6,0.720979,0.973169,6,'111111000000000
7,0.7247,0.97645,8,'111111100100000
8,0.787278,0.972871,10,'111111010100101
9,0.782299,0.972276,8,'111111100100000
Run 5
Generation,Average Fitness,Best Fit,Correct Bits,Best String
0,0.109774,0.819457,9,'110100011111100
1,0.30717,0.834893,9,'110010110110110
2,0.507273,0.832303,8,'111100100101100
3,0.665123,0.944665,11,'111100111111010
4,0.693235,0.944665,11,'111111101001110
5,0.600323,0.946988,7,'111110000011000
6,0.65092,0.946988,10,'111111100111000
7,0.693986,0.9927,11,'111111101111000
8,0.789486,0.973467,12,'111110111111001
9,0.779714,0.997561,12,'111111101110101


Number of Genes:,,30
Population Size:,,30
Number of Generations:,,10
Mutation Probability:,,0.033
Crossover Probability:,,0.6
Number of Runs:,,5

Run 1
Generation,Average Fitness,Best Fit,Correct Bits,Best String
0,0.03462,0.172043,11,'110000000010000101011000111100
1,0.103932,0.201464,12,'010101100100110000001100110100
2,0.15836,0.486978,18,'111101101010111110011100100010
3,0.208058,0.690311,16,'110101100011101000010001111011
4,0.40729,0.901236,18,'111101101010101110011100010011
5,0.466833,0.901236,19,'111101101010111110011100100011
6,0.614428,0.901306,17,'100101101010111110011100100011
7,0.571999,0.919181,18,'111101100010111010011110110010
8,0.612651,0.968672,21,'111101101010111110011110101011
9,0.657941,0.968355,17,'111011010101101001011100101010
Run 2
Generation,Average Fitness,Best Fit,Correct Bits,Best String
0,0.0448207,0.757636,17,'111110000111111000001011011100
1,0.360387,0.816661,18,'111110001110111000011011001011
2,0.631267,0.888534,19,'111110101110111000011011001011
3,0.623759,0.888543,16,'111110001011011000011011001010
4,0.537017,0.887995,16,'111110001011011000001011001011
5,0.572155,0.942653,15,'111101000011111000001011001010
6,0.604558,0.942653,18,'110111100111110101011000001011
7,0.719221,0.942798,18,'111110101111110100011001001010
8,0.76046,0.942798,20,'111110111111111100011010001010
9,0.711179,0.942796,16,'110101100101011100011011001010
Run 3
Generation,Average Fitness,Best Fit,Correct Bits,Best String
0,0.104457,0.954379,16,'111111101100111010100010010000
1,0.394316,0.954379,19,'111111101100111110110010100010
2,0.572005,0.956723,18,'111111101100111110110010100000
3,0.792631,0.956723,18,'111111100100111110110010100010
4,0.810477,0.961425,19,'111111001101111111100110010000
5,0.665394,0.982883,17,'111111111000110011110010010000
6,0.749418,0.982883,22,'111111111000111011110110101110
7,0.717017,0.982885,19,'111111101100101110110110010001
8,0.713158,0.982885,20,'111111101001111001110110101001
9,0.71565,0.992003,20,'111111111100101101110111000010
Run 4
Generation,Average Fitness,Best Fit,Correct Bits,Best String
0,0.0483287,0.41323,16,'111010100101100101011110000011
1,0.26033,0.897122,14,'111010100101100010001100001101
2,0.407564,0.970547,18,'111010110101000011101110101011
3,0.523552,0.970547,20,'111111110011110001011110001101
4,0.568268,0.970593,20,'111111110111110011011000001101
5,0.687592,0.980167,19,'111111110011110110100110001100
6,0.710585,0.970737,16,'111010110101010010101010100011
7,0.64465,0.969406,18,'111100111011011010101010100101
8,0.669936,0.986405,16,'111111100101000010011110000011
9,0.703844,0.98731,18,'111010110011011001011010011011
Run 5
Generation,Average Fitness,Best Fit,Correct Bits,Best String
0,0.0673173,0.872335,20,'111010110010011010111011101111
1,0.422735,0.945056,16,'111011001000011011111010110000
2,0.659775,0.949707,22,'111111001101001011111011101111
3,0.724087,0.949707,19,'111111001010111010110011000111
4,0.868367,0.978777,19,'111111001011110110010110010110
5,0.75611,0.946259,19,'111111000111001110110101010101
6,0.648545,0.945098,19,'111111101001001101110011101100
7,0.735136,0.945746,18,'111111001000100101110110110101
8,0.681286,0.945057,17,'111111001001000101110001011110
9,0.715407,0.945016,15,'111110100001100110100011000110


Number of Genes:,,20
Population Size:,,30
Number of Generations:,,5
Mutation Probability:,,0.033
Crossover Probability:,,0.6
Number of Runs:,,5

Run 1
Generation,Average Fitness,Best Fit,Correct Bits,Best String
0,0.0479113,0.213446,8,'11000101000110010010
1,0.165042,0.708052,13,'11011011010111011010
2,0.387617,0.725236,12,'11110111111000100001
3,0.447635,0.725236,11,'11110011010100001011
4,0.580878,0.984629,9,'11000110101010001001
Run 2
Generation,Average Fitness,Best Fit,Correct Bits,Best String
0,0.141779,0.990892,12,'11001111110000011101
1,0.520405,0.990911,12,'11111101110000011001
2,0.728518,0.994501,10,'10110111110001000001
3,0.748224,0.994482,13,'11111010010110111001
4,0.753482,0.994397,13,'11111101110001011001
Run 3
Generation,Average Fitness,Best Fit,Correct Bits,Best String
0,0.103999,0.859902,10,'11111100001010100100
1,0.487136,0.91547,12,'11111100001010100111
2,0.57976,0.915496,11,'11101001101011100100
3,0.717208,0.915496,16,'10111101101011111111
4,0.779556,0.989323,13,'11111001101011011001
Run 4
Generation,Average Fitness,Best Fit,Correct Bits,Best String
0,0.128382,0.786315,11,'11101001111101010000
1,0.372011,0.791925,10,'11111000010110100010
2,0.465848,0.92302,12,'11100101101101011001
3,0.513353,0.923162,13,'11100101111101100110
4,0.621803,0.951793,13,'11111100111101010001
Run 5
Generation,Average Fitness,Best Fit,Correct Bits,Best String
0,0.0467225,0.834545,13,'11011011111010010101
1,0.341409,0.834828,12,'11011011011000101011
2,0.545215,0.979637,11,'01111001011010101100
3,0.531856,0.977243,12,'10111011011010010101
4,0.67823,0.835899,13,'11111011011000101011


Number of Genes:,,20
Population Size:,,30
Number of Generations:,,15
Mutation Probability:,,0.033
Crossover Probability:,,0.6
Number of Runs:,,5

Run 1
Generation,Average Fitness,Best Fit,Correct Bits,Best String
0,0.0479113,0.213446,8,'11000101000110010010
1,0.165042,0.708052,13,'11011011010111011010
2,0.387617,0.725236,12,'11110111111000100001
3,0.447635,0.725236,11,'11110011010100001011
4,0.580878,0.984629,9,'11000110101010001001
5,0.608756,0.982224,12,'11110111111010000001
6,0.651119,0.982243,13,'11111111100010101001
7,0.701698,0.982243,13,'11110111111001000101
8,0.730199,0.982224,12,'11111110100100001101
9,0.79165,0.996506,12,'11111110100100001101
10,0.743389,0.996429,12,'11110111110000101001
11,0.822862,0.996467,7,'11010110010000000001
12,0.696479,0.996429,12,'11110110110011001001
13,0.726484,0.996582,13,'11111111101000011001
14,0.809475,0.99642,12,'11110110110000101011
Run 2
Generation,Average Fitness,Best Fit,Correct Bits,Best String
0,0.0941974,0.734307,10,'11111000001101110000
1,0.360393,0.785961,10,'11111000001101110000
2,0.5468,0.785961,11,'11100111100010101010
3,0.646249,0.785961,10,'11111000001101100010
4,0.618511,0.861686,12,'11111000110011101010
5,0.617045,0.861602,11,'11111000000101101110
6,0.67254,0.861686,12,'11111100011010110100
7,0.573865,0.8686,13,'11111010000111111100
8,0.703758,0.868466,13,'11111010100111111000
9,0.685509,0.862745,11,'11111000000101101110
10,0.64567,0.866972,11,'11111000000011110011
11,0.669083,0.866972,13,'11111010011001111001
12,0.717416,0.866972,12,'11111001000101101110
13,0.656882,0.871275,10,'11101010000011111000
14,0.638457,0.93255,12,'11111100010110111000
Run 3
Generation,Average Fitness,Best Fit,Correct Bits,Best String
0,0.0633883,0.950772,12,'11010111000110011110
1,0.550085,0.965435,15,'11110111011110011110
2,0.582697,0.951346,13,'11111110101100100110
3,0.695928,0.956016,11,'11111110101100100000
4,0.741757,0.988162,15,'11111110101110111100
5,0.834474,0.988294,16,'11111110111110011101
6,0.829378,0.988671,14,'11110111101100101110
7,0.842706,0.988671,15,'11111110101101110110
8,0.872611,0.988671,15,'11111110001111101110
9,0.759877,0.988671,10,'11100010110100001101
10,0.811098,0.988747,15,'11111110101101110110
11,0.739556,0.989757,12,'10111111001101110000
12,0.708638,0.989757,12,'11111010001100110110
13,0.795053,0.989757,11,'10111110010100100110
14,0.782617,0.988822,11,'11111110011100100000
Run 4
Generation,Average Fitness,Best Fit,Correct Bits,Best String
0,0.0480568,0.900242,9,'11000001010100101110
1,0.39787,0.993117,11,'11111101110100100000
2,0.654275,0.993117,13,'11111001110100101110
3,0.679214,0.993724,9,'11111100010110000000
4,0.771333,0.992833,13,'11111111010100101100
5,0.742988,0.992814,13,'11111111110100010100
6,0.859078,0.992889,14,'11111101110101011100
7,0.806135,0.993003,12,'11111100010110001110
8,0.72604,0.992889,12,'11111001010100101110
9,0.676734,0.992889,10,'11111110010100001000
10,0.709702,0.992889,13,'11111110010100101110
11,0.748644,0.993458,8,'11111001010100000000
12,0.773877,0.992851,10,'11111110000000111000
13,0.734052,0.935797,8,'11111101000000001000
14,0.721913,0.954936,15,'11111101111100101110
Run 5
Generation,Average Fitness,Best Fit,Correct Bits,Best String
0,0.0873282,0.772877,11,'11101011100101010010
1,0.383862,0.90111,10,'11110011000110010010
2,0.474092,0.910041,11,'11101101010110000101
3,0.613189,0.983699,13,'11100111011101010101
4,0.616488,0.979029,8,'01111001010010000001
5,0.618591,0.979029,14,'11101111100111011010
6,0.708969,0.99472,10,'11101101100001000101
7,0.681835,0.99472,11,'11111001011110010000
8,0.591812,0.984479,13,'11111011100101010101
9,0.725074,0.988709,10,'11011101011100010000
10,0.778097,0.995023,17,'11111111110111110101
11,0.775774,0.995023,15,'11111101110110100111
12,0.76539,0.999895,11,'11111101000001010101
13,0.790227,0.999895,13,'11111011110101010001
14,0.683229,0.92389,11,'11101100010010100111


Number of Genes:,,20
Population Size:,,30
Number of Generations:,,30
Mutation Probability:,,0.033
Crossover Probability:,,0.6
Number of Runs:,,5

Run 1
Generation,Average Fitness,Best Fit,Correct Bits,Best String
0,0.0479113,0.213446,8,'11000101000110010010
1,0.165042,0.708052,13,'11011011010111011010
2,0.387617,0.725236,12,'11110111111000100001
3,0.447635,0.725236,11,'11110011010100001011
4,0.580878,0.984629,9,'11000110101010001001
5,0.608756,0.982224,12,'11110111111010000001
6,0.651119,0.982243,13,'11111111100010101001
7,0.701698,0.982243,13,'11110111111001000101
8,0.730199,0.982224,12,'11111110100100001101
9,0.79165,0.996506,12,'11111110100100001101
10,0.743389,0.996429,12,'11110111110000101001
11,0.822862,0.996467,7,'11010110010000000001
12,0.696479,0.996429,12,'11110110110011001001
13,0.726484,0.996582,13,'11111111101000011001
14,0.809475,0.99642,12,'11110110110000101011
15,0.675846,0.99642,7,'11111000101000000000
16,0.847549,0.99642,13,'11111111100100101001
17,0.756216,0.99642,9,'11111100000100010001
18,0.766657,0.9867,13,'11111111101000001101
19,0.787287,0.996173,16,'11111111111101001110
20,0.811387,0.998304,9,'11110111001010000000
21,0.821174,0.999504,13,'11110111100010010111
22,0.816832,0.999504,13,'11111111101001011000
23,0.652977,0.991545,14,'11111101111101001100
24,0.809014,0.992444,11,'11011111101001010000
25,0.7562,0.999152,12,'11111111101011000000
26,0.712686,0.997314,14,'11111111101111000010
27,0.813282,0.997219,16,'11111111011110100111
28,0.821415,0.997219,14,'11111111100011101100
29,0.788041,0.998866,11,'11111110100101000100
Run 2
Generation,Average Fitness,Best Fit,Correct Bits,Best String
0,0.0160973,0.235465,10,'11011101100010001100
1,0.158893,0.916483,9,'01111100000001100011
2,0.377153,0.916466,13,'11111101110110001001
3,0.535636,0.918973,11,'11111011100100000011
4,0.758893,0.948551,13,'11111110101001101100
5,0.712224,0.948551,13,'11111101100101110001
6,0.756199,0.983069,11,'11111100100011001001
7,0.709552,0.983069,13,'11111101000010111011
8,0.708793,0.983126,17,'11111111110001111111
9,0.706717,0.991478,13,'11111100110001100111
10,0.71287,0.964152,13,'11111101100000111101
11,0.722813,0.98384,10,'11111001110000000011
12,0.690967,0.993524,14,'11111101100100101111
13,0.695,0.993524,14,'11011111110101010101
14,0.750531,0.994207,11,'11110011010001110010
15,0.77177,0.993562,13,'11111110011010110010
16,0.843259,0.993752,14,'11111011101011101001
17,0.807099,0.983746,15,'11111011011010011111
18,0.800121,0.983708,9,'11110101001000101000
19,0.808368,0.977365,16,'11111101101011011111
20,0.814106,0.977365,16,'11111101111011001111
21,0.848168,0.976655,14,'01111101100011011111
22,0.862718,0.976655,11,'11111101100101001000
23,0.819555,0.976646,10,'11111101010000100010
24,0.659756,0.977365,12,'11111110000111010010
25,0.720809,0.987539,15,'11111111011001101101
26,0.759167,0.996667,15,'11111111001011011110
27,0.70135,0.989956,15,'11111111011011000111
28,0.819135,0.997247,15,'11111111011011000111
29,0.782819,0.989956,13,'11111100110101010110
Run 3
Generation,Average Fitness,Best Fit,Correct Bits,Best String
0,0.0519658,0.652248,11,'11101110100111000001
1,0.301725,0.670395,12,'11111101001000100111
2,0.480609,0.903788,11,'11110101010010100101
3,0.6058,0.91696,10,'11110101000111000001
4,0.641026,0.91696,10,'11111100010000100101
5,0.686032,0.924005,13,'11111101010110101100
6,0.738477,0.916977,13,'11111101110010100011
7,0.747353,0.961995,13,'11111101110010100011
8,0.708531,0.97143,13,'11110111110010100110
9,0.738362,0.990627,11,'11111001000101000111
10,0.720195,0.990589,11,'11111101010010100001
11,0.644231,0.922639,12,'11111101010000100111
12,0.66542,0.922656,11,'11110101000100110101
13,0.6506,0.985937,15,'11111101111101101001
14,0.720365,0.988851,16,'11111001111111100111
15,0.652365,0.982787,12,'11111101001001010101
16,0.738159,0.963746,12,'11111100010110110100
17,0.766868,0.99858,14,'11110111111100101100
18,0.679319,0.998704,16,'11110111111100101111
19,0.774937,0.998723,14,'11110110111100111100
20,0.699027,0.99999,12,'11011001001011100111
21,0.730334,0.999981,11,'11110001010001101101
22,0.806944,0.999943,17,'11111111111110100111
23,0.813001,0.999171,14,'11111111011000101110
24,0.819288,0.994672,14,'11111111010001110110
25,0.771949,0.999905,15,'10111101011111110110
26,0.737231,0.994891,11,'11111111001100100000
27,0.798532,0.999018,15,'11110101100111101111
28,0.720116,0.994985,13,'11110101110110100110
29,0.816517,0.994985,14,'11111101000111100111
Run 4
Generation,Average Fitness,Best Fit,Correct Bits,Best String
0,0.103985,0.821021,7,'11111000010000000100
1,0.603894,0.91197,11,'11101011001111010000
2,0.628935,0.928554,11,'11111011001101001000
3,0.716772,0.975405,13,'11111111010111010000
4,0.6309,0.975405,10,'11111011000010100100
5,0.802912,0.975423,10,'11111011000010100100
6,0.766247,0.963312,9,'11111011000000100100
7,0.771568,0.963128,11,'11111011000111010000
8,0.737305,0.975479,10,'11111011000010100100
9,0.783884,0.975479,14,'11111111011111010000
10,0.756389,0.98019,11,'11111011100000110100
11,0.711173,0.975479,10,'11111011001000100010
12,0.658546,0.971421,10,'11111101000010100100
13,0.76,0.975162,15,'11111011010111011101
14,0.751366,0.975144,13,'11111111010100110100
15,0.747761,0.990769,12,'11110110100011101100
16,0.729614,0.990769,13,'11111101000101111010
17,0.662533,0.972164,15,'11111011110110011101
18,0.688802,0.972164,13,'11111100010111110100
19,0.711332,0.972016,12,'11111100010110110100
20,0.735154,0.971867,13,'11110101010111110100
21,0.712764,0.971867,13,'11111111010101010001
22,0.72511,0.975162,15,'11111101110100111101
23,0.808463,0.991072,13,'11111111010101010001
24,0.667587,0.991072,14,'11111101100100111101
25,0.697995,0.976608,14,'11111011010111010110
26,0.769954,0.996002,10,'11111000010001101001
27,0.746748,0.984065,11,'11110100010111010001
28,0.771587,0.983614,12,'11111100011110100001
29,0.708526,0.993809,16,'11111111010101110111
Run 5
Generation,Average Fitness,Best Fit,Correct Bits,Best String
0,0.0819827,0.639539,8,'00001001101110010001
1,0.421828,0.83793,13,'11110011101011001110
2,0.546997,0.842692,13,'11110111001010110011
3,0.574005,0.987256,10,'11101100110010100010
4,0.580562,0.987266,13,'11101101101011111000
5,0.602607,0.98638,15,'11111111101001110110
6,0.611313,0.986559,14,'11101101111010010111
7,0.657115,0.985966,14,'11110111110000111110
8,0.658472,0.991696,13,'11111111001000110011
9,0.702865,0.986031,13,'11110111110010010110
10,0.74707,0.995641,11,'11110111100000011010
11,0.766372,0.990835,15,'11111011111000011111
12,0.759532,0.990835,12,'11110111100000010111
13,0.796519,0.990835,15,'11111110101100111011
14,0.794906,0.990863,15,'11110111111000111110
15,0.729513,0.990863,12,'11111101000001101011
16,0.755243,0.990863,14,'11111110111000111010
17,0.826475,0.995641,13,'11111010111000111010
18,0.788211,0.995717,10,'11111111010000100000
19,0.809445,0.995166,16,'11111110111011110011
20,0.746773,0.988143,13,'11111101100000111110
21,0.791505,0.996325,10,'11111100000001011010
22,0.752456,0.998818,12,'11111110010001011010
23,0.768603,0.998894,13,'11111110110000111010
24,0.761889,0.998904,12,'11011110000110111100
25,0.754725,0.998875,12,'11111011110100000110
26,0.736984,0.998875,14,'11111110111110001010
27,0.766054,0.98886,9,'11011111100000000010
28,0.76515,0.98886,14,'11111110110110011100
29,0.816661,0.986615,11,'11111101101000001010
