Name: Samuel Steinberg
CS420 Project 4: Genetic Algorithms
Experiments are conducted with the parameters listed above the runs

Number of Genes:,,20
Population Size:,,30
Number of Generations:,,5
Mutation Probability:,,0.033
Crossover Probability:,,0.6
Number of Runs:,,5

Run 1
Generation,Average Fitness,Best Fit,Correct Bits,Best String
0,0.0607294,0.590647,7,'01001101000100100100
1,0.379664,0.603719,14,'11110011111001101101
2,0.436393,0.81625,14,'11110011110111101001
3,0.53378,0.81625,11,'11110111001001101000
4,0.482576,0.81625,14,'11101110110010111101
Run 2
Generation,Average Fitness,Best Fit,Correct Bits,Best String
0,0.0626016,0.582768,8,'11101010001000011000
1,0.37246,0.825151,12,'11110010100010110111
2,0.589948,0.825111,13,'11111010110010110011
3,0.589956,0.829784,9,'11011010100000110010
4,0.551644,0.944539,10,'11111000100110010010
Run 3
Generation,Average Fitness,Best Fit,Correct Bits,Best String
0,0.0365517,0.320876,6,'10100100100011000000
1,0.125358,0.686537,8,'11001000000111110000
2,0.325221,0.866678,12,'11011110100011110001
3,0.547506,0.9451,9,'11110010100011010000
4,0.631605,0.949624,13,'11110110101111100010
Run 4
Generation,Average Fitness,Best Fit,Correct Bits,Best String
0,0.0765958,0.807019,10,'11101000101010010110
1,0.424844,0.84275,11,'11101101001101010010
2,0.573428,0.894109,10,'11101100001101010010
3,0.546639,0.911927,9,'11101100000101010100
4,0.628112,0.960485,13,'11101111011000101011
Run 5
Generation,Average Fitness,Best Fit,Correct Bits,Best String
0,0.108009,0.897262,13,'11101011101010011011
1,0.3573,0.89869,12,'11011010010111010110
2,0.7006,0.906194,14,'11111010110110110011
3,0.689344,0.968609,12,'11101010110010110011
4,0.826075,0.970371,14,'11111101010011110101
