Name: Samuel Steinberg,,,
"CS420 Project 2 -- February 16th, 2018",,,
Description: The following are the averages over 4 trial runs for each of the listed parameters,,,
,,,
"Experiment 0 Rules: j1=1, j2=-0.1, r1=1, r2=2, h=0",,,
Distance,Joint Entropy,Mutual Info,Correlation
10,1.486764708,0.465061996,0.072220988
11,1.457436244,0.494390459,0.011917957
12,1.426646051,0.525180652,0.041667901
13,1.398007219,0.553819485,0.08564226
14,1.374534694,0.57729201,0.118572663
,,,
,,,
"Experiment 37 Rules: j1=1, j2=0, r1=6, r2=15, h=-2",,,
Distance,Joint Entropy,Mutual Info,Correlation
0,0.468995594,0.468995594,1
1,0,0,0.999998765
2,0,0,0.999998765
3,0,0,0.999998765
4,0,0,0.999998765
5,0,0,0.999998765
6,0,0,0.999998765
7,0,0,0.999998765
8,0,0,0.999998765
9,0,0,0.999998765
10,0,0,0.999998765
11,0,0,0.999998765
12,0,0,0.999998765
13,0,0,0.999998765
14,0,0,0.999998765
,,,
,,,
"Experiment 38 Rules: j1=0, j2=-0.1, r1=1, r2=2, h=0",,,
Distance,Joint Entropy,Mutual Info,Correlation
0,0.568807071,1.427422469,1
1,0.610560254,1.385669285,0.771112346
2,1.52122022,0.475009319,0.596665432
3,1.14789075,0.848338789,0.423704938
4,1.580759416,0.415470124,0.293332099
5,1.378118756,0.618110783,0.184890123
6,1.544491862,0.451737677,0.11481358
7,1.462820791,0.533408748,0.060953616
8,1.514346309,0.48188323,0.038054321
9,1.486908325,0.509321215,0.018025926
10,1.504632664,0.491596875,0.017109877
11,1.490852234,0.505377305,0.010506285
12,1.503796699,0.49243284,0.015369136
13,1.491865728,0.504363811,0.008548243
14,1.501112281,0.495117258,0.009840035
,,,
,,,
"Experiment 39 Rules: j1=0, j2=-0.1, r1=1, r2=4, h=-2",,,
Distance,Joint Entropy,Mutual Info,Correlation
0,0.535772743,0.799770241,1
1,1.02409366,0.311449324,0.38444321
2,1.019333779,0.316209205,0.377776543
3,0.958197658,0.377345326,0.316295062
4,1.076527642,0.259015342,0.512220988
5,1.053432458,0.282110526,0.43644321
6,1.050814111,0.284728873,0.430739506
7,1.030253549,0.305289435,0.393649559
8,1.049265686,0.286277298,0.427498765
9,1.051449804,0.284093181,0.432097531
10,1.04481518,0.290727804,0.418665432
11,1.049934749,0.285608235,0.428887654
12,1.043065887,0.292477097,0.415369136
13,1.053873896,0.281669088,0.437434663
14,1.041436682,0.294106302,0.412379718
,,,
,,,
"Experiment 40 Rules: j1=0, j2=-0.1, r1=1, r2=4, h=-1",,,
Distance,Joint Entropy,Mutual Info,Correlation
0,0.563355757,1.323847506,1
1,1.315119728,0.572083535,0.093334568
2,1.459814112,0.427389151,0.155554321
3,1.12161725,0.765586012,0.284445679
4,1.49975416,0.387449103,0.34944321
5,1.399660864,0.487542399,0.028887654
6,1.484139638,0.403063624,0.236295062
7,1.283869562,0.603333701,0.130477425
8,1.446838033,0.440365229,0.122776543
9,1.408102789,0.479100473,0.043702469
10,1.470684766,0.416518496,0.187332099
11,1.404197573,0.48300569,0.036766442
12,1.414783259,0.472420003,0.055924691
13,1.414033161,0.473170101,0.05452868
14,1.436175231,0.451028032,0.098728924
,,,
,,,
"Experiment 41 Rules: j1=0, j2=-0.1, r1=1, r2=4, h=0",,,
Distance,Joint Entropy,Mutual Info,Correlation
0,0.568978138,1.430672751,1
1,0.808218255,1.191432634,0.671112346
2,1.507564782,0.492086107,0.626665432
3,0.74690971,1.25274118,0.706667901
4,1.504727186,0.494923704,0.631665432
5,1.040217382,0.959433507,0.51555679
6,1.559279206,0.440371683,0.505924691
7,1.097556617,0.902094272,0.470794885
8,1.583147822,0.416503068,0.37694321
9,1.263821386,0.735829503,0.320495062
10,1.583392237,0.416258652,0.293109877
11,1.345450228,0.654200661,0.230708305
12,1.562326847,0.437324043,0.16444321
13,1.419355673,0.580295216,0.134360209
14,1.542794995,0.456855894,0.100951146
,,,
,,,
"Experiment 42 Rules: j1=0, j2=-0.1, r1=1, r2=6, h=-5",,,
Distance,Joint Entropy,Mutual Info,Correlation
0,0.529139132,0.673731641,1
1,0.973537233,0.22933354,0.559998765
2,0.959924696,0.242946077,0.515554321
3,0.898653043,0.304217729,0.429628395
4,0.912808527,0.290062245,0.442776543
5,0.897755411,0.305115362,0.428887654
6,0.975213006,0.227657767,0.568887654
7,0.971371369,0.231499404,0.550474956
8,0.967866101,0.235004672,0.537776543
9,0.943091484,0.259779288,0.482220988
10,0.939327326,0.263543447,0.476220988
11,0.922537234,0.280333539,0.453534119
12,0.946041734,0.256829039,0.487220988
13,0.963072834,0.239797939,0.523588509
14,0.964974933,0.23789584,0.528887654
,,,
,,,
"Experiment 43 Rules: j1=0, j2=-0.1, r1=1, r2=6, h=-3",,,
Distance,Joint Entropy,Mutual Info,Correlation
0,0.558312939,1.228033977,1
1,1.418030307,0.368316609,0.486665432
2,1.389616091,0.396730825,0.216665432
3,1.256758958,0.529587958,0.009630864
4,1.189723646,0.59662327,0.081667901
5,1.222844562,0.563502355,0.048001235
6,1.369194405,0.417152511,0.166665432
7,1.417226471,0.369120445,0.322220988
8,1.421999326,0.364347591,0.359720988
9,1.394712434,0.391634483,0.23135679
10,1.328654073,0.457692844,0.09044321
11,1.25484181,0.531505107,0.011920426
12,1.258453699,0.527893218,0.007593827
13,1.327494733,0.458852183,0.088545774
14,1.390129558,0.396217359,0.218094004
,,,
,,,
"Experiment 44 Rules: j1=0, j2=-0.1, r1=1, r2=6, h=0",,,
Distance,Joint Entropy,Mutual Info,Correlation
0,0.568978138,1.430672751,1
1,1.567071071,0.432579819,0.477776543
2,1.55809018,0.441560709,0.148887654
3,1.371687318,0.627963571,0.198519753
4,1.194173938,0.805476952,0.387779012
5,1.328388662,0.671262227,0.250667901
6,1.505121184,0.494529706,0.011109877
7,1.579784294,0.419866595,0.2549194
8,1.584674547,0.414976343,0.327776543
9,1.562197856,0.437453034,0.163949383
10,1.462818844,0.536832046,0.067112346
11,1.32958254,0.670068349,0.249294164
12,1.318888055,0.680762835,0.261482716
13,1.445457857,0.554193033,0.09521491
14,1.546155641,0.453495248,0.110633686
,,,
,,,
"Experiment 45 Rules: j1=0, j2=-0.1, r1=1, r2=9, h=0",,,
Distance,Joint Entropy,Mutual Info,Correlation
0,0.568994169,1.430977334,1
1,1.483338656,0.516632846,0.666665432
2,1.569954645,0.430016857,0.466665432
3,1.575166559,0.424804943,0.222220988
4,1.482502207,0.517469295,0.033334568
5,1.308307248,0.691664254,0.273779012
6,1.18902105,0.810950452,0.392964198
7,1.225661054,0.774310448,0.358731393
8,1.357496975,0.642474528,0.216667901
9,1.476322601,0.523648901,0.044445679
10,1.554725774,0.445245728,0.13644321
11,1.58097166,0.418999842,0.262827048
12,1.583933917,0.416037586,0.297961728
13,1.579969933,0.42000157,0.25435774
14,1.55845923,0.441512273,0.149205115
,,,
,,,
"Experiment 46 Rules: j1=0, j2=-0.1, r1=1, r2=13, h=0",,,
Distance,Joint Entropy,Mutual Info,Correlation
0,0.568995237,1.430997638,1
1,1.433172063,0.566820813,0.733332099
2,1.526811599,0.473181277,0.589998765
3,1.583335602,0.416657273,0.377776543
4,1.569040704,0.430952171,0.191109877
5,1.493197869,0.506795006,0.013334568
6,1.364136236,0.63585664,0.208519753
7,1.170617884,0.829374992,0.409525044
8,1.114489462,0.885503414,0.457501235
9,1.221270455,0.778722421,0.362964198
10,1.334225753,0.665767122,0.244445679
11,1.432829964,0.567162911,0.11515275
12,1.514766036,0.485226839,0.030924691
13,1.566372461,0.433620415,0.179485945
14,1.584895206,0.41509767,0.342062257
,,,
,,,
"Experiment 47 Rules: j1=0, j2=-0.1, r1=4, r2=5, h=0",,,
Distance,Joint Entropy,Mutual Info,Correlation
0,0.568972794,1.430571219,1
1,1.581051559,0.418492454,0.266665432
2,1.567156071,0.432387942,0.18444321
3,1.426560852,0.572983161,0.123704938
4,1.157296983,0.84224703,0.42055679
5,1.422403538,0.577140475,0.129779012
6,1.501753933,0.49779008,0.00444321
7,1.564259076,0.435284937,0.172379718
8,1.584562377,0.414981636,0.34194321
9,1.53255364,0.466990373,0.073825926
10,1.466132208,0.533411805,0.061334568
11,1.373095686,0.626448327,0.196566891
12,1.310797049,0.688746964,0.270371605
13,1.490238845,0.509305168,0.018120893
14,1.543870578,0.455673435,0.10428448
,,,
,,,
"Experiment 48 Rules: j1=0, j2=-0.1, r1=4, r2=7, h=-5",,,
Distance,Joint Entropy,Mutual Info,Correlation
0,0.541850081,0.915239669,1
1,1.123191041,0.333898709,0.713332099
2,1.173831265,0.283258485,0.538887654
3,1.143940819,0.31314893,0.375554321
4,1.052075242,0.405014507,0.241109877
5,0.985166061,0.471923689,0.191109877
6,1.026517728,0.430572021,0.218517284
7,1.096877784,0.360211966,0.292697178
8,1.139684543,0.317405207,0.365832099
9,1.160199086,0.296890663,0.421974074
10,1.167877545,0.289212205,0.454887654
11,1.164554614,0.292535136,0.438988664
12,1.149706993,0.307382757,0.389998765
13,1.125810977,0.331278772,0.338118424
14,1.103646928,0.353442822,0.302220988
,,,
,,,
"Experiment 49 Rules: j1=0, j2=-0.1, r1=4, r2=7, h=-3",,,
Distance,Joint Entropy,Mutual Info,Correlation
0,0.560488231,1.269364515,1
1,1.39168797,0.438164775,0.646665432
2,1.457006952,0.372845794,0.387776543
3,1.396576121,0.433276624,0.13407284
4,1.259771308,0.570081438,0.071667901
5,1.171020629,0.658832116,0.160890123
6,1.200734612,0.629118133,0.133334568
7,1.313451406,0.516401339,0.0050806
8,1.408165199,0.421687546,0.160276543
9,1.44998664,0.379866106,0.304937037
10,1.456827009,0.373025736,0.377776543
11,1.45430576,0.375546985,0.338180584
12,1.426936485,0.40291626,0.210554321
13,1.352364106,0.47748864,0.052477398
14,1.255620376,0.57423237,0.076350441
,,,
,,,
"Experiment 50 Rules: j1=0, j2=-0.1, r1=4, r2=7, h=0",,,
Distance,Joint Entropy,Mutual Info,Correlation
0,0.568995594,1.431004406,1
1,1.521928095,0.478071905,0.599998765
2,1.581290899,0.418709101,0.399998765
3,1.530124965,0.469875035,0.066665432
4,1.370950594,0.629049406,0.200001235
5,1.035040279,0.964959721,0.520001235
6,1.251629167,0.748370833,0.333334568
7,1.370950594,0.629049406,0.200001235
8,1.523195879,0.476804121,0.049998765
9,1.578679627,0.421320373,0.24444321
10,1.555040279,0.444959721,0.519998765
11,1.58448839,0.41551161,0.309089675
12,1.56320209,0.43679791,0.166665432
13,1.457265914,0.542734086,0.076924311
14,1.323191247,0.676808753,0.257144092
,,,
,,,
"Experiment 51 Rules: j1=0, j2=-0.1, r1=4, r2=12, h=0",,,
Distance,Joint Entropy,Mutual Info,Correlation
0,0.568982769,1.430760744,1
1,1.433028199,0.566715315,0.733332099
2,1.526654764,0.473088749,0.589998765
3,1.583154608,0.416588906,0.377776543
4,1.568584823,0.431158691,0.189998765
5,1.492945113,0.5067984,0.013334568
6,1.363821126,0.635922387,0.208519753
7,1.171626887,0.828116626,0.408255203
8,1.116386293,0.88335722,0.45555679
9,1.220878908,0.778864605,0.362964198
10,1.333513105,0.666230409,0.244890123
11,1.43281757,0.566925943,0.114748709
12,1.514608481,0.485135032,0.031109877
13,1.566404765,0.433338748,0.180511586
14,1.584702506,0.415041007,0.342538448
,,,
,,,
"Experiment 52 Rules: j1=0, j2=-0.1, r1=9, r2=12, h=-6",,,
Distance,Joint Entropy,Mutual Info,Correlation
0,0.558312939,1.228033977,1
1,1.223489685,0.562857232,0.82444321
2,1.331349805,0.454997112,0.702220988
3,1.396362283,0.389984633,0.573332099
4,1.422796716,0.3635502,0.445554321
5,1.416934421,0.369412495,0.32044321
6,1.384637165,0.401709752,0.203332099
7,1.332119323,0.454227593,0.096189242
8,1.268482365,0.517864552,0.004720988
9,1.208294804,0.578052113,0.063211111
10,1.176718593,0.609628323,0.094001235
11,1.182168152,0.604178764,0.088890123
12,1.221664818,0.564682099,0.049260494
13,1.274477603,0.511869313,0.012306458
14,1.324072305,0.462274611,0.083014638
,,,
,,,
"Experiment 53 Rules: j1=0, j2=-0.1, r1=9, r2=12, h=-3",,,
Distance,Joint Entropy,Mutual Info,Correlation
0,0.56640637,1.381809152,1
1,1.358564349,0.589651173,0.782220988
2,1.463205183,0.485010339,0.648887654
3,1.529639486,0.418576036,0.488146914
4,1.546007331,0.402208191,0.341109877
5,1.526324233,0.421891289,0.195998765
6,1.4797967,0.468418822,0.06444321
7,1.412709744,0.535505778,0.057461552
8,1.337921801,0.610293722,0.160001235
9,1.271667455,0.676548067,0.235309877
10,1.262511755,0.685703767,0.244890123
11,1.302543739,0.645671783,0.201617396
12,1.359749586,0.588465936,0.132408642
13,1.410841197,0.537374326,0.060343115
14,1.448894271,0.499321251,0.003014638
,,,
,,,
"Experiment 54 Rules: j1=0, j2=-0.1, r1=9, r2=12, h=0",,,
Distance,Joint Entropy,Mutual Info,Correlation
0,0.568995594,1.431004406,1
1,1.368995594,0.631004406,0.799998765
2,1.483355755,0.516644245,0.666665432
3,1.556494046,0.443505954,0.515554321
4,1.584518029,0.415481971,0.356665432
5,1.572562601,0.427437399,0.207998765
6,1.522719647,0.477280353,0.048887654
7,1.448247409,0.551752591,0.091429806
8,1.35889395,0.64110605,0.215001235
9,1.279138721,0.720861279,0.30518642
10,1.251629167,0.748370833,0.333334568
11,1.274231462,0.725768538,0.310304265
12,1.328468072,0.671531928,0.251112346
13,1.395391031,0.604608969,0.168206363
14,1.455378439,0.544621561,0.080001235
